,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.808,0.7747778595236223,0.5891472868217055,0.18673218673218672,0.2835820895522388,0.2515203593432248
Decision Tree,0.7825,0.6814541814541815,0.46846846846846846,0.5110565110565111,0.4888366627497062,0.35156512543465823
KNN,0.824,0.7530758801945242,0.6222222222222222,0.343980343980344,0.4430379746835443,0.37029086112393805
Naive Bayes,0.82,0.7842865978459199,0.6,0.3464373464373464,0.4392523364485981,0.359359947454013
Random Forest,0.864,0.8522181657774878,0.7824267782426778,0.4594594594594595,0.5789473684210527,0.5297461559164839
XGBoost,0.849,0.8328343752072566,0.6829268292682927,0.48157248157248156,0.5648414985590778,0.4874269120909205
